Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,60.7,61.48,60.49,61.08,8394080,60.2582045513466,0.1729047939664839,0.2588847788278308,60.4804761904762,55.76460317460317,60.22145378531785,0.8843757655526403,1.048593503338832,0.0106988099769644,V
2015-01-05,60.73,60.73,59.67,59.73,12751200,49.7742427246763,0.1894226780416966,0.2636682153187891,60.45380952380953,55.938730158730166,60.17677616847077,0.7391115615885298,0.9866971149887716,-0.0223500736062169,V
2015-01-06,59.88,60.1,58.73,59.35,11070492,47.28064088395741,0.1905077729496594,0.2642487097667474,60.413809523809526,56.10746031746032,60.101614698609794,0.5865642614845825,0.9066705442879338,-0.0063822856885376,V
2015-01-07,59.56,60.19,59.33,60.14,9346840,52.597463903010976,0.1941720347686726,0.2614572126728343,60.38761904761904,56.30253968253968,60.105104271463446,0.5233825960301104,0.8300129546363691,0.0132230565047058,V
2015-01-08,60.65,61.1,60.53,60.94,10443656,57.294398417444654,0.1998239628515621,0.2598991346050755,60.40190476190477,56.49444444444445,60.18100388314859,0.5317344809756861,0.7703572599042325,0.0132145959971799,V
2015-01-09,60.75,60.95,59.86,60.04,10523600,51.15358112127068,0.205964021381631,0.2573769683749441,60.36190476190476,56.689047619047614,60.1681853483169,0.4604234565771961,0.7083704992388252,-0.0148787667923017,V
2015-01-12,60.16,60.38,59.73,59.93,6425600,50.44197293358873,0.2036618207332313,0.2553329687679755,60.34333333333333,56.89190476190476,60.14653213483354,0.3905310761330511,0.6448026146176704,-0.0018337922951672,V
2015-01-13,60.38,61.25,59.71,60.09,10284000,51.49886056621602,0.2029542005363356,0.2549250317907559,60.31714285714285,57.09984126984127,60.14139284984868,0.3440851247750203,0.5846591166491404,0.0026662238757427,V
2015-01-14,59.15,59.6,58.57,58.9,12225292,43.98547382374748,0.1966746839724931,0.2583668469822365,60.30428571428571,57.294603174603175,60.028538954407885,0.2088458737135923,0.5094964680620307,-0.0200023476882956,V
2015-01-15,59.16,59.33,58.15,58.33,10584704,40.906915173419335,0.1994113477453445,0.2577691249725273,60.26476190476191,57.48936507936508,59.874126322188985,0.0550391001046364,0.4186049944705519,-0.0097245498919947,V
2015-01-16,58.06,58.8,57.97,58.76,11137200,44.086241642230185,0.1960491760676898,0.2571025324546083,60.28190476190476,57.680952380952384,59.7728421110809,-0.0317900142625617,0.3285259927239292,0.0073448105401303,V
