Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,return_1d,return_5d,return_21d,return_63d,log_return,vol_21d,vol_63d,rsi_14,rsi_overbought,rsi_oversold,sma_50,price_vs_sma_50,momentum_10d,momentum_21d,vol_avg_20d,vol_ratio,future_return_5d,target,Ticker
2015-04-06,2.68,2.73,2.68,2.7,8178519,41.358210788446655,0.2973049257980949,0.5315350234234688,2.763333333333333,2.807777777777777,2.769086226603518,-0.0614852461308972,-0.0572005804130919,0.0037105793965357,0.003717472118959231,-0.007352941176470562,-0.09395973154362414,0.003717472118959231,0.0037105793965357746,0.29730492579809575,0.5315350234234691,44.000000000000036,0,0,2.8758000000000004,-0.06113081577300239,-0.03571428571428559,-0.09395973154362414,11581089.7,0.7061959808497124,0.02962962962962945,1,AMD
2015-04-07,2.7,2.74,2.69,2.7,5738069,41.358210788446655,0.2921261367882142,0.5310412139138652,2.752857142857143,2.808412698412698,2.762805660548653,-0.0588693385951453,-0.0575343320495026,0.0,0.0,0.0,-0.07534246575342463,0.015037593984962516,0.0,0.2921261367882151,0.5310412139138655,42.85714285714287,0,0,2.8808,-0.06276034434879185,-0.04929577464788726,-0.07534246575342463,11247696.3,0.5101550439266395,-0.011111111111111183,0,AMD
2015-04-08,2.68,2.74,2.68,2.71,4348995,42.5676821500161,0.2922134490375256,0.5305599638748614,2.742380952380952,2.80968253968254,2.758005145953321,-0.0553512419378448,-0.057097714027171,0.0036968618813259,0.0037037037037035425,0.011194029850746245,-0.07508532423208203,0.03041825095057038,0.0036968618813259814,0.2922134490375265,0.5305599638748617,45.83333333333333,0,0,2.8828000000000005,-0.059941723324545726,-0.028673835125448077,-0.07508532423208203,10949527.0,0.3971856501198636,-0.0036900369003689537,0,AMD
2015-04-09,2.69,2.75,2.69,2.72,7127564,43.815607901027896,0.2933382183117878,0.5290834689508588,2.732857142857143,2.811904761904762,2.754550132684837,-0.0511663942212954,-0.0559114500659959,0.0036832454162965,0.0036900369003691758,0.01115241635687747,-0.06849315068493145,0.054263565891472965,0.003683245416296589,0.29333821831178863,0.5290834689508591,47.916666666666664,0,0,2.8832,-0.05660377358490554,0.034220532319391817,-0.06849315068493145,10717263.6,0.6650544640891356,0.05514705882352944,1,AMD
2015-04-10,2.74,2.78,2.73,2.76,6184822,48.624379576378175,0.2855518143268949,0.5293685145047471,2.729047619047619,2.814285714285714,2.7550455751680336,-0.044113691375323,-0.0535518983278613,0.0145987994211526,0.014705882352941124,0.026022304832713727,-0.028169014084507116,0.05747126436781613,0.014598799421152631,0.28555181432689575,0.5293685145047473,45.65217391304348,0,0,2.8857999999999997,-0.04359276457134931,0.04150943396226414,-0.028169014084507116,10334145.35,0.5984841310558885,-0.06521739130434778,0,AMD
2015-04-13,2.76,2.8,2.73,2.78,8391501,50.8877866326548,0.2690133288167046,0.5293477463766195,2.7300000000000004,2.8166666666666664,2.7573141592436667,-0.0364899077623777,-0.0501395002147646,0.007220247973487,0.007246376811594235,0.02962962962962945,0.007246376811594235,0.057034220532319324,0.007220247973487097,0.26901332881670514,0.5293477463766199,43.18181818181817,0,0,2.8892,-0.037795929669112716,0.022058823529411686,0.007246376811594235,10348768.9,0.8108694938583467,-0.10431654676258983,0,AMD
2015-04-14,2.77,2.79,2.65,2.67,13364127,40.356788080249295,0.3037230329367655,0.5357403518199677,2.7261904761904763,2.8173015873015874,2.749376508403333,-0.0388759472934054,-0.0478867896304927,-0.0403724552903876,-0.03956834532374098,-0.011111111111111183,-0.029090909090909167,0.015209125475285079,-0.040372455290387514,0.3037230329367659,0.535740351819968,37.999999999999986,0,0,2.8911999999999995,-0.0765080243497509,-0.011111111111111183,-0.029090909090909167,10710331.5,1.2477790253270873,-0.11985018726591756,0,AMD
2015-04-15,2.7,2.74,2.65,2.7,15281419,43.77425606527285,0.3064111479761628,0.5357262248693633,2.723333333333333,2.817936507936508,2.744887734912121,-0.0379091583528325,-0.0458912633749607,0.0111733005981252,0.011235955056179803,-0.0036900369003689537,-0.021739130434782483,0.015037593984962516,0.011173300598125255,0.3064111479761632,0.5357262248693635,59.459459459459495,0,0,2.8918,-0.06632547202434458,0.00746268656716409,-0.021739130434782483,11087291.5,1.3782824236198714,-0.15555555555555567,0,AMD
2015-04-16,2.72,2.94,2.7,2.87,28617313,58.34105309472999,0.3744802410853657,0.548776837172698,2.728095238095238,2.821746031746032,2.756261577192838,-0.0231584358683059,-0.0413446978736297,0.0610602567612462,0.06296296296296289,0.05514705882352944,0.036101083032491044,0.09125475285171114,0.06106025676124628,0.37448024108536593,0.5487768371726983,71.15384615384617,1,0,2.894,-0.008293020041465149,0.06691449814126393,0.036101083032491044,11948897.65,2.394975154883848,-0.18815331010452963,0,AMD
2015-04-17,2.54,2.59,2.45,2.58,53185288,39.52775997293882,0.5299607668875301,0.5833637021946697,2.72,2.8226984126984127,2.7402377974480343,-0.0344715913477413,-0.0399700765684521,-0.1065226308380037,-0.10104529616724744,-0.06521739130434778,-0.06181818181818177,0.023809523809523725,-0.10652263083800374,0.5299607668875302,0.5833637021946699,40.540540540540526,0,0,2.8886000000000003,-0.10683376029910685,-0.040892193308550095,-0.06181818181818177,14167190.4,3.7541168360382873,-0.10852713178294582,0,AMD
