Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,return_1d,return_5d,return_21d,return_63d,log_return,vol_21d,vol_63d,rsi_14,rsi_overbought,rsi_oversold,sma_50,price_vs_sma_50,momentum_10d,momentum_21d,vol_avg_20d,vol_ratio,future_return_5d,target,Ticker
2015-04-06,59.79,60.63,59.49,60.22,8351200,40.88300177251841,0.182359985381136,0.1952777095026001,61.29238095238096,60.98031746031746,61.14397319508224,-0.4244414685058544,-0.2461064901257709,-0.001327580679552,-0.001326699834162448,-0.005121427391376221,-0.048506873123716265,-0.014079895219384353,-0.0013275806795519142,0.18235998538113338,0.19527770950259968,30.76923076923069,0,0,61.354000000000006,-0.018482902500244647,-0.032765820751686436,-0.048506873123716265,12162854.8,0.6866151193385948,0.006310195948189934,1,V
2015-04-07,60.38,61.13,60.32,60.77,6660800,46.18898646486641,0.1775378024971911,0.1908737073876818,61.2252380952381,60.99682539682539,61.109975631892944,-0.3956371406387688,-0.2760126202283705,0.009091723093676,0.009133178346064419,0.0021437994722954823,-0.022676101640398794,0.01741168591997333,0.00909172309367607,0.17753780249718842,0.1908737073876813,46.51685393258431,0,0,61.379000000000005,-0.009921960279574482,-0.01904761904761909,-0.022676101640398794,12050699.8,0.5527313857739614,-0.004113871976304084,0,V
2015-04-08,60.86,61.73,60.77,61.42,6604200,51.70575029781877,0.179559734285843,0.1914959105703452,61.16571428571429,61.02968253968254,61.13815966535722,-0.3167091100803532,-0.284151918198767,0.0106392688654124,0.010696067138390664,0.016719086243999426,-0.01994574756661882,0.034877843302443035,0.010639268865412466,0.17955973428584032,0.1914959105703447,45.5377574370709,0,0,61.425,-8.14000814000071e-05,-0.008875262223656533,-0.01994574756661882,11824629.8,0.5585121996800272,-0.012373819602735314,0,V
2015-04-09,61.48,61.71,60.73,61.36,5408500,51.184110214542585,0.1602687602336217,0.1897727506402096,61.17190476190477,61.04904761904762,61.15832696850656,-0.2560480136590328,-0.2785311372908202,-0.0009773579536755,-0.0009768804949528143,0.01926910299003315,0.002123142250530785,0.020285999334885174,-0.0009773579536755926,0.16026876023361852,0.18977275064020915,46.06481481481475,0,0,61.4954,-0.0022017907030443817,0.010706638115631772,0.002123142250530785,11489793.4,0.470722128041049,-0.011897001303780907,0,V
2015-04-10,61.59,61.59,60.89,61.27,4628805,50.3633381594116,0.1602470551985246,0.1879809165780155,61.17857142857143,61.05428571428572,61.1684790622787,-0.21278307471173,-0.2653815247750021,-0.0014678303214375,-0.0014667535853976066,0.016086235489220613,0.0022902012105350256,0.005415162454873723,-0.0014678303214375023,0.16024705519852142,0.18798091657801502,37.14285714285714,0,0,61.58519999999999,-0.005118112793333296,0.011389897655992076,0.0022902012105350256,11244693.25,0.4116435101508883,-0.02741961808389093,0,V
2015-04-13,61.16,61.7,60.51,60.6,5059800,44.62621194816409,0.1503968985038569,0.1868816496421871,61.1,61.0631746031746,61.11679914752609,-0.2299084578759789,-0.2582869113951975,-0.0109954336622944,-0.010935204831075573,0.006310195948189934,-0.026506024096385472,0.009327115256495766,-0.010995433662294437,0.15039689850385354,0.18688164964218665,33.96674584323034,0,0,61.6542,-0.0170985918234281,0.001156451346439713,-0.026506024096385472,10868515.45,0.4655465618351769,-0.013696369636963635,0,V
2015-04-14,60.51,60.9,59.92,60.52,5621800,43.981962043392976,0.139115204554642,0.1868623675047866,61.06761904761904,61.07253968253968,61.06254467956917,-0.2470875078436734,-0.2560470306848927,-0.0013210041551135,-0.0013201320132012473,-0.004113871976304084,-0.011111111111111072,0.009844818955448087,-0.0013210041551135253,0.13911520455463833,0.1868623675047861,33.02107728337238,0,0,61.6896,-0.01895943562610225,-0.0019788918205804196,-0.011111111111111072,10657125.45,0.5275156069407065,-0.0026437541308659274,0,V
2015-04-15,60.59,60.87,60.31,60.66,5347147,45.46569869430028,0.1278697726395318,0.186844299642435,60.99809523809524,61.0815873015873,61.02594970869925,-0.2465629742531874,-0.2541502193985516,0.0023106133402798,0.0023132848645075477,-0.012373819602735314,-0.02350289761751445,0.00948577134298545,0.0023106133402798264,0.12786977263952776,0.18684429964243454,49.20634920634914,0,0,61.7258,-0.017266685891474953,0.004138387684158307,-0.02350289761751445,10209942.8,0.5237195844035483,0.03544345532476112,1,V
2015-04-16,60.52,60.96,60.35,60.63,4121327,45.18948562012735,0.1143183112067613,0.1823109512710425,60.976666666666674,61.109047619047615,60.98995428063568,-0.2457353428161681,-0.2524672440820749,-0.0004946821767957,-0.0004945598417407382,-0.011897001303780907,-0.007367387033398787,0.029371816638370296,-0.0004946821767956025,0.114318311206757,0.18231095127104208,50.81967213114763,0,0,61.74100000000001,-0.01799452551788927,0.0071428571428571175,-0.007367387033398787,7883109.15,0.5228047616212443,0.031502556490186295,1,V
2015-04-17,60.13,60.5,59.43,59.59,11212900,36.83502997669917,0.1195499450707976,0.1846463404045824,60.87095238095238,61.12904761904762,60.8626857096688,-0.3252494738234475,-0.2670236900303494,-0.0173020453247517,-0.01715322447633183,-0.02741961808389093,-0.03591651836272447,0.021601234356249055,-0.01730204532475178,0.11954994507079354,0.18464634040458192,38.36633663366332,0,0,61.711999999999996,-0.03438553279751089,-0.01177446102819224,-0.03591651836272447,7673379.15,1.4612727692466492,0.045813055881859244,1,V
